Role_of_acc_id relationships which don't contain each other
ASCCP									-->	ACC
--------------------------------------------------------------------
AnyProperty									AnyStructuredContent
AnyExtension								AnyUserArea
ResponseCriteria							ResponseActionCriteria
InternetAddressCommunication				ElectronicCommunication
AccountIdentifiers							NamedIdentifiers
BillToParty									CustomerParty
ContractReference							OrderReference
Discount									PaymentTerm
Penalty										PaymentTerm
BuyerParty									CustomerParty
ResourceCodes								SequencedCodes
LotIdentifiers								SequencedIdentifiers
Disposition									Status
InvoiceCharge								InvoiceAllowanceCharge
FieldValue									Property
Cancel										Process
Change										Process
SyncResponse								Respond
UnitCost									Price
StandardDocumentReference					OnlineDocumentReference
MethodDocumentReference						OnlineDocumentReference
InspectorQualification						ProfessionalQualification
InspectorSkill								ProfessionalSkill
ChildBOMReference							BOMReferenceBase
BillOfLadingReference						DocumentReference
ClassificationDefinition					ClassificationDetails
CommodityClassification						SemanticClassification
BuyerContractReference						OrderReference
SupplierContractReference					OrderReference
ForwardingAgentParty						FinancialParty
ConfigurationReference						DocumentReference
CatalogReference							DocumentReference
PriceListIdentification						NamedIdentification
ItemClassIdentification						ItemIdentification
ConfirmWIPLine								ShopFloorControlLine
CorrectiveActionDocumentReference			OnlineDocumentReference
SupplementalDocumentReference				OnlineDocumentReference
IncidentReference							OnlineDocumentReference
SupportingEvidenceReference					OnlineDocumentReference
CorrectiveActionPlanReference				OnlineDocumentReference
PlannedCorrectiveActionReference			OnlineDocumentReference
CorrectiveActionReference					OnlineDocumentReference
CorrectiveActionPlanDocumentReference		OnlineDocumentReference
CorrectiveActionRequestReference			OnlineDocumentReference
CorrectiveActionRequestDocumentReference	OnlineDocumentReference
IncidentRecordReference						OnlineDocumentReference
DebtorParty									CreditorDebitorParty
FirstAgentParty								FinancialParty
CreditorParty								CreditorDebitorParty
ExchangeContractReference					DocumentReference
EngineeringChangeDetail						EngineeringChangeLine
ChildEngineeringActivityIdentifiers			SequencedIdentifiers
ApprovedByParty								SignatoryParty
SafeTemperatureRange						TemperatureRangeABIE
TransportationTermReference					DocumentReference
FulfillmentTermReference					DocumentReference
PurchasingParty								CustomerParty
InspectDeliveryReference					DocumentReference
DeliveryReference							OrderReference
TestSpecificationReference					OnlineDocumentReference
SamplingPlanDocumentReference				OnlineDocumentReference
FreightClassification						SemanticClassification
MaintenanceOrderReference					DocumentReference
RoutingDisposition							Status
UnitValue									Price
ResponsibleSupplier							SupplierParty
MergeWIPHeader								WIPEventHeader
RequisitionReference						OrderReference
MoveProductForecastHeader					MoveProductForecasttHeader
MoveWIPHeader								WIPDistributedEventHeader
Interests									SequencedTexts
QuoteReference								OrderReference
SalesLeadReference							DocumentReference
OpportunityReference						DocumentReference
ServiceRequestReference						DocumentReference
HROrganizationIdentifiers					SequencedIdentifiers
DemandReference								DocumentReference
RespondingScheduleReference					DocumentReference
LastDeliveryReference						DocumentReference
ProductLineClassification					SemanticClassification
ProductionScheduleReference					DocumentReference
RFQReference								OrderReference
SalesOrganizationIdentifiers				NamedIdentifiers
SalesPerson									Contact
ASNReference								DocumentReference
ReceiptDiscrepancy							ReceiveDeliveryDiscrepancy
RecoverWIPHeader							WIPDistributedEventHeader
ExposedRiskIdentifiers						SequencedIdentifiers
OperationalMeasureIdentifiers				SequencedIdentifiers
TestedControlIdentifiers					SequencedIdentifiers
FinishedGoodItem							ManufacturingItem
SplitWIPHeader								WIPEventHeader
MSDSDocumentReference						OnlineDocumentReference
TestSpecificationDocumentReference			OnlineDocumentReference
SamplingMethodDocumentReference				OnlineDocumentReference
WarrantyReference							OrderReference
ServiceContractReference					OrderReference
WorkOrderSchedule							WorkOrderSchedulde
Load										Sync
LoadResponse								Respond
Post										Process
ProcurementCard								CreditCard
DrawingReference							DocumentReference
MaterialProducedActual						ManufacturingMaterial
MaterialConsumedActual						ManufacturingMaterial
ConsumableActual							ManufacturingMaterial
InspectionSpecificationReference			DocumentReference
CoordinateReference							SequencedIdentifiers
AlternateIdentifiers						SequencedIdentifiers
InvoiceLedgerEntryHeaderExtension			InvoiceLineExtension
RecordExtension								ReceiveItemLineExtension
ServiceElementsExtension					ServicedItemInstanceExtension
AnewASCCPproperty							ApplicationAreaUserExtensionGroup
AnewASCCPproperty							ApplicationAreaUserExtensionGroup
AnewASCCPproperty							ApplicationAreaUserExtensionGroup
AnewASCCPproperty							ApplicationAreaUserExtensionGroup
Friend										SermConcept1
AnewASCCPproperty							SermConcept1
Friend										SermConcept1
